wikirate_id;wikirate_name;wikipedia_url
352615945;Sompo Japan Nipponkoa Holdings Inc;http://en.wikipedia.org/wiki/Sompo_Japan_Nipponkoa_Holdings
2608717;Zalando SE;http://en.wikipedia.org/wiki/Zalando
57260;Sime Darby;http://en.wikipedia.org/wiki/Sime_Darby
2608684;KT Corporation;http://en.wikipedia.org/wiki/KT_Corporation
2718547;Kangwon Land;http://en.wikipedia.org/wiki/Kangwon_Land
2736627;Santee Cooper;http://en.wikipedia.org/wiki/Santee_Cooper
2736634;Great River Energy;https://en.wikipedia.org/wiki/Great_River_Energy
2736636;Nebraska Public Power District (NPPD);https://en.wikipedia.org/wiki/Nebraska_Public_Power_District
2736612;Lower Colorado River Authority (LCRA);https://en.wikipedia.org/wiki/Lower_Colorado_River_Authority
2736616;Puerto Rico Electric Power Authority (PREPA);https://en.wikipedia.org/wiki/Puerto_Rico_Electric_Power_Authority
