id,name
14388,Angora
16185,Asia
169530,Biodiesel
4583505,Black Economic Empowerment
13993,Burma
34318,California
21740,Carbon Disclosuer Project CDP
14378,carbon-negative
831197,Cement
175650,closure
1785583,Cloud
22125,Coffee
799221,Community Upliftment
828985,Company restructuring
886417,Compliance Challenges
798728,cooperative
21045,Cotton Made in Africa (CmiA)
4580063,Crop management
799227,CSI
818750,CSO
807203,Disposal
176333,dodd frank
1497319,E02
828734,Effectiveness
831182,Efficiency
33909,Electronic Industry Citizenship Coalition (EICC)
2463442,emissions management
806467,Energy Costs
33881,Energy Star Certification
36153,enzyme
14401,Equador
168967,Ethical Consumer mobile phone ranking
19012,Ethical Tea Partnership (ETP)
20908,EU
15992,EU Organic Products Label
15825,Europe
16032,Fair Trade USA
21836,Fairfood International
20073,Fareshare
4580064,Financial benefits
19562,Florida
798799,Food Fraud
13830,Food Scandal
1663175,food security
17881,Forest Stewardship Council (FSC)
800531,Forestry Value Add
18258,Friends of the Earth
836956,Fuel consumption from non-renewable sources
845460,G4-10a
845461,G4-10a2
826916,G4-EN15-a
844780,G4-EN19-a
836613,G4-EN20-a
836727,G4-EN21-a1
836654,G4-EN21-a2
836692,G4-EN21-a3
836718,G4-EN21-a4
836800,G4-EN21-a6
837189,G4-EN23-a
848776,G4-EN23a
846587,G4-EN3-a
885867,G4-EN3-e
844818,G4-EN5-a
837289,G4-EN6-a
844793,G4-HR12-a
881507,G4-HR12-b
881509,G4-HR12-c
802433,G4-HR4
849178,G4-HR6-a
836757,G4-LA16-a
836998,G4-LA16-b1
42231,Gay marriage
844773,GHG emissions intensity ratio
17579,Global Business Initiative on Human Rights
14966,GMO
4579948,Good Governance
1785582,Government
837062,GR-LA16-b2
4579957,Horsemeat Scandal
46373,Indonesian Palm Oil Pledge (IPOP)
61342,Institute for Global Labour and Human Rights
175103,investigative report
5099421,ISO 20400 Sustainable Procurement
45990,ISO14001:2004
17459,ISO26000
22759,Korea
22714,law
15994,Marine Stewardship Council (MSC)
18266,Mascot
4579975,Media Transparency
174507,Mercury
14411,Mica
808602,Mineral Prices
40381,Minimum pay
42377,missleading marketing
168779,money laundering
38772,neonicotinoids
16843,New Zeland
36163,North America
14392,NPE
42378,nutrition
42376,obesity
16844,Oceania
14375,Off-shore tax haven
14924,Organics
798906,Other Habitat Destruction
38771,pesticides
4583572,Platinum mining
1187549,Political
1785584,Private Communication
18250,Rainforest Action Network
17456,Rainforest Alliance
600,Rainforest Destruction
14436,Rana Plaza
22720,registered
16733,Round Table on Responsible Soy (RTRS)
16420,Roundtable on Sustainable Palm Oil (RSPO)
15060,Russian Federation
14438,Sandblasting
3142636,Save bees | butterfly | Pollinators in USA - hplcco
3142634,Save the bees campaign in USA
45179,Seafood
852073,SEC
1220309,Section 1: Planning Communications
1220306,Section 2: Procurement
1219121,Section 3: Resource Management
1220312,Section 4: Access Equity
14220,Shrimps
828702,Skills Development
800819,Socio-economic development
1200,Soil and Landscape Management
3941,Solar Energy
21280,South America
45465,South Korea
16658,Soy
17137,Soy Moratorium
36899,Students and Scholars Against Corporate Misbehavior (Sacom)
14254,Sugar
20862,Sumatra
5822657,Supplier Policy
21791,Sustainable Apparel Coalition
14125,Syria
37729,Taiwan
5399232,Tax Evasion
166047,TCO Certified
16809,Tea
6238,Tetley
15750,The Netherlands
46246,Tibet
15209,Tide
18419,Tobacco
885704,Top 10 CSR Ranking
42597,Tuna
799681,Unfair Trading
39366,UNHCR
175803,unpaid wages
5445009,Urban Redevelopment
14385,US
14167,USA
22145,UTZ
15567,Vatican
4579966,Wage fixing
36131,Water Rights
14430,WaterAid
14431,Africa
5821685,Biodiversity
1404561,Ceres
14418,clean energy
2893240,Collection of User Information
1796910,construction
1196,Corporate Governance & Compliance
799224,Corporate Social Investment
806460,Cost of sales
14429,CSR
14399,CSR report
2893231,Data breaches
22713,design
2718683,Dining Services
837537,Direct Greenhouse Gas Emissions
789824,Economic
2718773,Employee Commute Modal Split
842697,female
840598,Fuel consumption from renewable sources
828701,Further Education & Training
843685,G4
836801,G4-EN21-a
836997,G4-LA16-b
33913,Global e-Sustainability Initiative
21039,Global Organic Textile Standard (GOTS)
829734,Greenhouse Gas
844757,Indirect Greenhouse Gas Emissions
14413,Ivory Coast
789836,Labour Practices and Decent Work
1002717,Laws and Regulations
1084992,Natural Resources
1837907,NVGs
14272,Oxfam
3150073,Pay
1231,Philanthropy & Collaboration with NGOs
14435,recycled paper
837538,Scope 1 GHG emissions
844759,Scope 2 GHG emissions
1573832,Slavery
1234,Social Reporting
18912,Socially and Environmentally Responsible Agricultural Practices program (SERAP)
2718768,Student Commute Modal Split
2718978,Support for Underrepresented Groups
2718921,Sustainability Coordination
22058,The World Cocoa Foundation
1173481,Toxic Pollution
2718763,Transportation
3414372,UNCTAD
1637726,UNGC
